Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.15,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.15  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.EntityFrameworkCore 9.0.4,,,,,"Microsoft.EntityFrameworkCore, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.4,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.4  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.21.2,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.21.2  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,System.Formats.Asn1 9.0.4,,,,,"System.Formats.Asn1, 9.0.4  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,System.IO.Hashing 9.0.4,,,,,"System.IO.Hashing, 9.0.4  Recommendation:  Remove System.IO.Hashing, and replace with new package System.IO.Hashing 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,System.Text.Json 9.0.4,,,,,"System.Text.Json, 9.0.4  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SplitzBackend.csproj,File,SplitzBackend.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SplitzBackend.csproj,File,src\Models\Group.cs,42,8,T:System.IO.Hashing.XxHash3,,,,,var xxhash3 = XxHash3.Hash(Encoding.UTF8.GetBytes(membersId));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SplitzBackend.csproj,File,src\Models\Group.cs,42,8,M:System.IO.Hashing.XxHash3.Hash(System.Byte[]),,,,,var xxhash3 = XxHash3.Hash(Encoding.UTF8.GetBytes(membersId));
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SplitzBackend.csproj,File,src\Program.cs,69,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,"builder.Services.AddAutoMapper((serviceProvider, automapper) =>          {              automapper.AddCollectionMappers();              automapper.UseEntityFrameworkCoreModel<SplitzDbContext>(serviceProvider);          }, typeof(SplitzDbContext), typeof(MapperProfile));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SplitzBackend.csproj,File,src\Program.cs,24,8,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,builder.Services.AddIdentityApiEndpoints<SplitzUser>(option =>              {                  option.User.RequireUniqueEmail = true;                  option.Password.RequiredLength = 12;                  option.Password.RequireDigit = true;                  option.Password.RequireLowercase = true;                  option.Password.RequireUppercase = false;                  option.Password.RequireNonAlphanumeric = false;              })              .AddEntityFrameworkStores<SplitzDbContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SplitzBackend.csproj,File,src\Program.cs,24,8,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,builder.Services.AddIdentityApiEndpoints<SplitzUser>(option =>              {                  option.User.RequireUniqueEmail = true;                  option.Password.RequiredLength = 12;                  option.Password.RequireDigit = true;                  option.Password.RequireLowercase = true;                  option.Password.RequireUppercase = false;                  option.Password.RequireNonAlphanumeric = false;              })              .AddEntityFrameworkStores<SplitzDbContext>();
